FID,SRC_AGENCY,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,DECADE,SIZE_HA,CAUSE,PROTZONE,FIRE_TYPE,MORE_INFO,CFS_REF_ID,CFS_NOTE1,CFS_NOTE2,ACQ_DATE,ECODISTRIC,ECOREGION,ECOZONE,CFS_ECOZ,SRC_AGY2
230688,SK,LLOYD LAKE, ,57.350999999999999,-108.715999999999990,1972,0,0,,,,1970-1979,67886.000000000000000,U,EXT, , ,SK-1972-LLOYD LAKE, , ,2008-11-12 00:00:00,348,88,6,6a,SK
230209,SK,DAN,DAN,58.223999999999997,-108.697900000000000,1985,7,6,1985-07-06 00:00:00,,1985-07-29 00:00:00,1980-1989,691.999000000000020,L, ,Wildfire, ,SK-1985-DAN, , ,2020-04-03 00:00:00,340,87,6,6a,SK
215954,SK,BRABANT,BRABANT,55.954690579999998,-103.581523230000000,1989,7,20,1989-07-20 00:00:00,,1989-09-11 00:00:00,1980-1989,8406.542692150000200,L, ,Wildfire, ,SK-1989-BRABANT, , ,2020-04-03 00:00:00,353,88,6,6a,SK
360545,NT,1977CR-009, ,62.883299999999998,-111.483300000000000,1977,6,27,1977-06-27 00:00:00,,,1970-1979,2608.699999999999800,L,EXT, , ,NT-1977-1977CR-009, , ,,260,69,5,5a,NT
140205,BC,2015-G80127, ,57.617800000000003,-121.190500000000000,2015,5,25,2015-05-25 00:00:00,,,2010-2019,545.000000000000000,L, ,Fire, ,BC-2015-2015-G80127, , ,2020-05-05 00:00:00,581,137,9,9,BC
385471,YT,2002WL013, ,61.551667000000002,-128.286944000000010,2002,6,15,2002-06-15 00:00:00,,,2000-2009,16510.389999999999000,L, , , ,YT-2002-2002WL013, , ,2016-06-16 00:00:00,880,171,11,11,YT
254901,MB,NE054, ,57.566389000000001,-95.396666999999994,2016,6,27,2016-06-27 00:00:00,,2016-08-05 00:00:00,2010-2019,2380.000000000000000,L,W (Observation Zone), ,No Action,MB-2016-NE054, , ,2017-01-27 00:00:00,281,71,5,5a,MB
379705,YT,9990MA032, ,66.010262999999995,-132.615488000000000,-999,0,0,,,,1990-1999,2251.130000000000100,U, , , ,YT--999-9990MA032,Exact year of fire unknown. Refer to decade, ,2016-06-16 00:00:00,195,51,4,4,YT
250795,MB,NE-106-269-99, ,55.225000000000001,-93.750000000000000,1999,8,19,1999-08-19 00:00:00,,1999-09-07 00:00:00,1990-1999,619.399999999999980,L,EXT, , ,MB-1999-NE-106-269-99, , ,2008-07-24 00:00:00,360,89,6,6a,MB
399026,PC-WB,2005-WB-11,Peace Point #1,59.119700000000002,-112.480300000000000,2005,6,7,2005-06-07 00:00:00,,,2000-2009,13750.000000000000000,L,EXT, , ,PC-WB-2005-WB-11, , ,2008-08-19 00:00:00,577,136,9,9,PC
257607,MB,565096, ,52.682105300000003,-95.937310699999998,2003,0,0,,,,2000-2009,9868.817999999999300,U, , , ,MB-2003-565096,used firepoly centroid for MB 2000-2004, ,,371,90,6,6a,MB
152154,AB,DL2-088-90,DL2088,55.804400000000001,-110.570600000000000,1990,8,6,1990-08-06 00:00:00,1990-08-08 00:00:00,1990-09-11 00:00:00,1990-1999,1418.400000000000100,L, ,Crown, ,AB-1990-DL2-088-90, , ,2020-06-01 00:00:00,641,139,9,9,AB
